site_code;item_raw;item_class;item_ord;grp1;grp2;grp3;grp4;grp5;grp6;grp7
mari;Algae_fronds_limestone_powder;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Coralline_algae;Florideophyceae;Corallinales;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae;Coralline algae
mari;Gastropoda_frags;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
haw;Hyperiid;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
haw;Chaetognaths;NA;NA;Microfauna;Chaetognatha;Microfauna;Chaetognatha;Chaetognatha;Worm;Worm
haw;Gelatinous clumps of bluegreen algae;NA;NA;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria
haw;Eggs_planktonic;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs;Zooplankton;Zooplankton;Zooplankton
haw;Siphonophores;Hydrozoa;Siphonophorae;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
haw;Shrimp;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
haw;Salps;Thaliacea;Salpida;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
mari;scraped polyps and skeletal particles;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
vir;Astraea_tuber;Gastropoda;Trochida;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Strombus_gallus;Gastropoda;Littorinimorpha;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Strombus_gigas;Gastropoda;Littorinimorpha;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Octopuses;Cephalopoda;Octopoda;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda;Cephalopoda
vir;Chorinus_heros;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Mithrax_sp;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Pitho_sp;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Portunus_sp;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Portunidae;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Acanthurus_sp;Actinopterygii;Acanthuriformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Eels;Actinopterygii;Anguilliformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Halimeda_sp;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Clibanarius_tricolor;Malacostraca;Decapoda;Paguroidea;Paguroidea;Malacostraca;Paguroidea;Decapoda;Decapoda;Crustacea
vir;Eunicea_calyculata;Anthozoa;Alcyonacea;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
vir;Plexaura_flexcuosa;Anthozoa;Alcyonacea;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
vir;Muricea_sp;Anthozoa;Alcyonacea;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
vir;Dictyota_bartayresii;Phaeophyceae;Dictyotales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Valonia_ventricosa;Ulvophyceae;Cladophorales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Acanthophora_spicifera;Florideophyceae;Ceramiales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Halimeda_monile;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Hydroids;Hydrozoa;NA;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
vir;Millepora_aclicornis;Hydrozoa;Anthoathecata;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Hydrozoa;Medusozoa;Medusozoa
vir;Trididemnum_savignii;Ascidiacea;Enterogona;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
vir;Zoanthus_sp;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Anthozoa;Anthozoa
vir;Palythoa_sp;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Anthozoa;Anthozoa
mad;Madréporaires;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
vir;Euchaeta_mari;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Undinula_vulgaris;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Centropages_hamatus;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Crab;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Stenetrium_sp;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Isopods;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Flabellifera;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Carideans;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
vir;Palaemonids;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
vir;Tanaid;Malacostraca;Tanaidacea;Tanaidacea;Tanaidacea;Malacostraca;Tanaidacea;Tanaidacea;Peracarida;Crustacea
mad;Copepodes;Hexanauplia;NA;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
mad;Insecta_larvae;Insecta;NA;Insecta;Insecta;Insecta;Insecta;Insecta;Insecta;Insecta
mad;Pycnogonides;Pycnogonida;NA;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida;Pycnogonida
mad;Tanaidacés;Malacostraca;Tanaidacea;Tanaidacea;Tanaidacea;Malacostraca;Tanaidacea;Tanaidacea;Peracarida;Crustacea
mad;Cumacés;Malacostraca;Cumacea;Zooplankton;Zooplankton;Zooplankton;Cumacea;Zooplankton;Zooplankton;Zooplankton
mad;Actiniaires;Anthozoa;Actiniaria;Anthozoa;Actiniaria;Anthozoa;Anthozoa;Anthozoa;Anthozoa;Anthozoa
mad;Mollusques_eggs;NA;NA;Zooplankton;Mollusca;Zooplankton;Mollusca;Zooplankton;Zooplankton;Zooplankton
haw;Gammaridean amphipods;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
haw;Xanthids;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
haw;Echinoids;Echinoidea;NA;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
haw;Fish_eggs_demersal;Actinopterygii;NA;Zooplankton;Fish;Zooplankton;Fish;Zooplankton;Zooplankton;Zooplankton
haw;Sand_Foraminifera;NA;NA;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera
haw;Isopods;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
haw;Mollusk;NA;NA;Mollusca;Mollusca;Mollusca;Mollusca;Mollusca;NA;Mollusca
haw;Didemnid;Ascidiacea;Enterogona;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
vir;Anthozoa;Anthozoa;NA;Anthozoa;Anthozoa;Anthozoa;Anthozoa;Anthozoa;Anthozoa;Anthozoa
vir;Linckia_guildingii;Asteroidea;Valvatida;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Echinodermata
vir;Laevicardium_sp;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Tellina_sp;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Papyridea_soleniformis;Bivalvia;Decapoda;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Xanthids;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Majids;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Echinoids;Echinoidea;NA;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Eucidaris_tribuloides;Echinoidea;Cidaroida;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Echinometra_sp;Echinoidea;Echinoida;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Echinometra_lacunter;Echinoidea;Echinoida;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Spatangoids;Echinoidea;Spatangoida;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Echinometra_viridis;Echinoidea;Echinoida;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Diadema_antillarum;Echinoidea;Diadematoida;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinoidea;Echinodermata
vir;Fish;Actinopterygii;NA;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Gastropods;Gastropoda;Littorinimorpha;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Gastropods;Gastropoda;Lepetellida;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Turrids;Gastropoda;Neogastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Diodora_listeri;Gastropoda;Lepetellida;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
vir;Ophiothrix_sp;Ophiuroidea;Ophiurida;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Echinodermata
vir;Ophiocoma_sp;Ophiuroidea;Ophiurida;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Echinodermata
vir;Ophiocoma_echinata;Ophiuroidea;Ophiurida;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Echinodermata
vir;Ophiurids;Ophiuroidea;NA;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Echinodermata
vir;Ostracods;Ostracoda;NA;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Zooplankton;Zooplankton
vir;Hermit_crab;Malacostraca;Decapoda;Paguroidea;Paguroidea;Malacostraca;Paguroidea;Decapoda;Decapoda;Crustacea
vir;Serpulids;Polychaeta;Sabellida;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
vir;Scyllaridae;Malacostraca;Decapoda;Scyllaridae;Scyllaridae;Malacostraca;Scyllaridae;Decapoda;Decapoda;Crustacea
vir;Stomatopod;Malacostraca;Stomatopoda;Stomatopoda;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda;Stomatopoda;Crustacea
vir;Metopid;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
vir;Gammarids;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
vir;Caprellids;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
vir;Lysianasid;Malacostraca;Amphipoda;Amphipoda;Amphipoda;Malacostraca;Amphipoda;Amphipoda;Peracarida;Crustacea
vir;Chione_cancellata;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Pecten_sp;Bivalvia;Pectinoida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Chione_sp;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Cumingia_antillarum;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Papyridea_semisulcata;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Americardia_guppyi;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Americardia media;Bivalvia;Veneroida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Harpacticoida;Hexanauplia;Harpacticoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Foraminifera;NA;NA;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera
vir;Asellote_sp;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Excorallanids;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Anthurids;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Sphaeromids;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Cymodoce_sp;Malacostraca;Isopoda;Isopoda;Isopoda;Malacostraca;Isopoda;Isopoda;Peracarida;Crustacea
vir;Cypridinine;Ostracoda;NA;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Zooplankton;Zooplankton
vir;Bairdoppilata_carinata;Ostracoda;Podocopida;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Ostracoda;Zooplankton;Zooplankton
vir;Eunice_sp;Polychaeta;Eunicida;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
vir;Chitons;Polyplacophora;NA;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora;Polyplacophora;Mollusca
vir;Dentalium_sp;Scaphopoda;Dentaliida;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda;Scaphopoda
vir;Aspidosiphon_sp;Phascolosomatidea;Aspidosiphonida;Sipuncula;Sipuncula;Sipuncula;Sipuncula;Sipuncula;Worm;Worm
vir;Aspidosiphon_sp;Phascolosomatidea;Aspidosiphonida;Sipuncula;Sipuncula;Sipuncula;Sipuncula;Sipuncula;Worm;Worm
vir;Apseudid;Malacostraca;Tanaidacea;Tanaidacea;Tanaidacea;Malacostraca;Tanaidacea;Tanaidacea;Peracarida;Crustacea
vir;Nebalia_sp;Malacostraca;Leptostraca;Zooplankton;Zooplankton;Zooplankton;Leptostraca;Zooplankton;Zooplankton;Zooplankton
mad;Sand;NA;NA;Inorganic;Inorganic;Inorganic;Inorganic;Inorganic;Inorganic;Inorganic
vir;Percnon_gibbesi;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
vir;Haemulon_carbonarium;Actinopterygii;Lutjaniformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Scorpaena_inermis;Actinopterygii;Perciformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Diplectrum_radiale;Actinopterygii;Perciformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
mari;Mullidae;Actinopterygii;Syngnathiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Megalopa_larvae;Malacostraca;Decapoda;Zooplankton;Crab;Zooplankton;Crab;Zooplankton;Zooplankton;Zooplankton
haw;Plagiotremus_goslinei;Actinopterygii;Blenniiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Opheliids;Polychaeta;NA;Annelida;Polychaeta;Polychaeta;Polychaeta;Annelida;Worm;Worm
mari;Shrimp;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
mari;Leander_sp;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
mari;Alpheids;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
mad;Protochordates;NA;NA;Hemichordata;Hemichordata;Microfauna;Hemichordata;Hemichordata;Worm;Worm
mad;Phanerogames débris;NA;NA;Benthic autotroph;Spermatophyta;Seagrass;Spermatophyta;Seagrass;Benthic autotroph;Benthic autotroph
mad;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda;Stomatopoda;Malacostraca;Stomatopoda;Stomatopoda;Stomatopoda;Crustacea
haw;Algae;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
vir;Pinctada_radiata;Bivalvia;Pterioida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
vir;Eggs_invert;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs;Zooplankton;Zooplankton;Zooplankton
haw;Asteroids;Asteroidea;NA;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Echinodermata
haw;Brachyurans;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
haw;Ophiurids;Ophiuroidea;NA;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Echinodermata
haw;Pagurid crab;Malacostraca;Decapoda;Paguroidea;Paguroidea;Malacostraca;Paguroidea;Decapoda;Decapoda;Crustacea
haw;Tunicates;NA;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
mad;Brachyura;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
mad;Eggs;NA;NA;Zooplankton;Eggs;Zooplankton;Eggs;Zooplankton;Zooplankton;Zooplankton
mad;Opistobranches;Gastropoda;NA;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Gastropoda;Mollusca
mad;Ophiurides;Ophiuroidea;NA;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiuroidea;Echinodermata
mad;Pagures;Malacostraca;Decapoda;Paguroidea;Paguroidea;Malacostraca;Paguroidea;Decapoda;Decapoda;Crustacea
mad;Eponges;NA;NA;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera
mari;Halimeda_sp;Ulvophyceae;Bryopsidales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Pincada_martensi;Bivalvia;Pterioida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mari;Codakia_punctata;Bivalvia;Lucinoida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mari;Isognomon_costellatum;Bivalvia;Pterioida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mari;Valsella_auriculata;Bivalvia;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mari;Xanthid crab;Malacostraca;Decapoda;Crab;Crab;Malacostraca;Crab;Decapoda;Decapoda;Crustacea
mari;Porifera_frags;NA;NA;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera
mari;Scleractinia_Pocillopora_damicornis;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Tunicates;NA;NA;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata;Tunicata
mad;Debris_unid;NA;NA;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus;Detritus
mari;Valonia_sp;Ulvophyceae;Cladophorales;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mari;Porifera;NA;NA;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera;Porifera
haw;Pectinidae;Bivalvia;Pectinoida;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
haw;Scleractinia_Porites;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Alcyonaria;Anthozoa;NA;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
mari;Scleractinia_Porites_lobata;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Scleractinia_Acropora;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Scleractinia_Montipora_sp;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Scleractinia_Pavona_varians;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Scleractinia_Porites_superfusa;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mari;Scleractinia_Goniastrea_parvistella;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Anthozoa;Scleractinia;Scleractinia;Anthozoa;Anthozoa
mad;Alcyonaires;Anthozoa;NA;Anthozoa;Alcyonaria;Anthozoa;Alcyonaria;Octocorallia;Anthozoa;Anthozoa
mad;Algae;NA;NA;Benthic autotroph;Algae;Algae;Algae;Algae;Benthic autotroph;Benthic autotroph
mad;Zoanthaires;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Zoantharia;Anthozoa;Anthozoa;Anthozoa
mari;Pelecypoda;Bivalvia;NA;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Bivalvia;Mollusca
mari;Linckia_guildingi;Asteroidea;Valvatida;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Asteroidea;Echinodermata
mari;Fish_eggs;Actinopterygii;NA;Zooplankton;Fish;Zooplankton;Fish;Zooplankton;Zooplankton;Zooplankton
mad;Sipunculides;NA;NA;Sipuncula;Sipuncula;Sipuncula;Sipuncula;Sipuncula;Worm;Worm
haw;Arachnids;Arachnida;NA;Arachnida;Arachnida;Arachnida;Arachnida;Arachnida;Arachnida;Arachnida
haw;Zoeae_larvae;Malacostraca;Decapoda;Zooplankton;Crab;Zooplankton;Crab;Zooplankton;Zooplankton;Zooplankton
haw;Foraminifera;NA;NA;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera;Foraminifera
haw;Mysids;Malacostraca;Mysida;Zooplankton;Zooplankton;Zooplankton;Mysida;Zooplankton;Zooplankton;Zooplankton
mari;Crab_zoeae;Malacostraca;Decapoda;Zooplankton;Decapoda;Zooplankton;Decapoda;Zooplankton;Zooplankton;Zooplankton
vir;Barnacle appendages and larvae;Hexanauplia;NA;Cirripedia;Cirripedia;Hexanauplia;Cirripedia;Cirripedia;Cirripedia;Crustacea
vir;Paracalanus_aculeatus;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Farrangula_gracilis;Hexanauplia;Poecilostomatoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Calocalanus_sp;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Pontella_sp;Hexanauplia;Calanoida;Copepoda;Copepoda;Hexanauplia;Copepoda;Copepoda;Copepoda;Crustacea
vir;Fish_scales;Actinopterygii;NA;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Acanthurus_nigrofuscus;Actinopterygii;Acanthuriformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Canthigaster_sp;Actinopterygii;Tetraodontiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Fish;Actinopterygii;NA;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Labridae;Actinopterygii;Labriformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Apogon_snyderi;Actinopterygii;Kurtiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
haw;Saron_marmoratus;Malacostraca;Decapoda;Shrimp;Shrimp;Malacostraca;Shrimp;Decapoda;Decapoda;Crustacea
mari;Atherinidae;Actinopterygii;Atheriniformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Holocentrus_coruscus;Actinopterygii;Holocentriformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Chromis_cyanea;Actinopterygii;Perciformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Haemulon_flavolineatum;Actinopterygii;Lutjaniformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Clinidae;Actinopterygii;Blenniiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Blenniidae;Actinopterygii;Blenniiformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
vir;Haemulon_aurolineatum;Actinopterygii;Lutjaniformes;Fish;Fish;Actinopterygii;Fish;Actinopterygii;Actinopterygii;Actinopterygii
